Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
222,2024-01-10 06:00:00,16.8,5.0,1,26.0,90.0,106.0,758.0,0
223,2024-01-10 07:00:00,21.0,2.0,1,27.0,84.0,114.0,758.0,0
224,2024-01-10 08:00:00,19.0,0.0,1,28.0,78.0,123.0,759.0,0
225,2024-01-10 09:00:00,13.9,0.0,1,29.0,71.0,131.0,759.0,0
226,2024-01-10 10:00:00,16.6,0.0,1,31.0,63.0,162.0,759.0,0
227,2024-01-10 11:00:00,10.5,2.0,1,31.0,60.0,143.0,759.0,0
228,2024-01-10 12:00:00,12.5,11.0,1,32.0,57.0,168.0,758.0,0
229,2024-01-10 13:00:00,10.8,4.0,1,32.0,54.0,171.0,757.0,0
230,2024-01-10 14:00:00,13.2,10.0,1,32.0,55.0,163.0,757.0,0
231,2024-01-10 15:00:00,10.9,8.0,1,32.0,57.0,170.0,756.0,0
232,2024-01-10 16:00:00,8.9,6.0,1,31.0,61.0,163.0,756.0,0
233,2024-01-10 17:00:00,9.1,9.0,1,29.0,68.0,188.0,757.0,0
234,2024-01-10 18:00:00,15.8,6.0,1,28.0,73.0,190.0,757.0,0
235,2024-01-10 19:00:00,16.7,11.03867403314917,1,28.0,75.0,190.0,758.0,0
236,2024-01-10 20:00:00,16.0,6.0,1,28.0,76.0,163.0,758.0,0
237,2024-01-10 21:00:00,12.4,0.0,1,28.0,76.0,129.0,759.0,0
238,2024-01-10 22:00:00,17.5,0.0,1,28.0,77.0,134.0,758.0,0
239,2024-01-10 23:00:00,15.6,2.0,1,28.0,78.0,119.0,758.0,0
240,2024-01-11 00:00:00,16.0,2.0,1,27.0,79.0,118.0,758.0,0
241,2024-01-11 01:00:00,12.2,0.0,1,27.0,80.0,110.0,758.0,0
242,2024-01-11 02:00:00,13.7,5.0,1,27.0,81.0,105.0,758.0,0
243,2024-01-11 03:00:00,11.1,0.0,1,27.0,83.0,102.0,757.0,0
244,2024-01-11 04:00:00,13.2,0.0,1,26.0,86.0,99.0,757.0,0
245,2024-01-11 05:00:00,15.9,3.0,1,26.0,87.0,102.0,758.0,0
246,2024-01-11 06:00:00,18.1,5.0,0,26.0,86.0,104.0,758.0,0
247,2024-01-11 07:00:00,16.7,2.0,1,27.0,85.0,107.0,759.0,0
248,2024-01-11 08:00:00,25.5,2.0,1,29.0,73.0,114.0,759.0,0
249,2024-01-11 09:00:00,16.8,0.0,1,30.0,62.0,146.0,760.0,0
250,2024-01-11 10:00:00,13.8,0.0,1,31.0,58.0,141.0,760.0,0
251,2024-01-11 11:00:00,11.9,7.0,1,32.0,56.0,150.0,759.0,0
252,2024-01-11 12:00:00,17.0,2.0,1,32.0,54.0,143.0,759.0,0
253,2024-01-11 13:00:00,17.0,2.0,1,32.0,53.0,138.0,758.0,0
254,2024-01-11 14:00:00,13.2,14.0,1,32.0,54.0,166.0,757.0,0
255,2024-01-11 15:00:00,11.1,2.0,1,31.0,59.0,204.0,757.0,0
256,2024-01-11 16:00:00,9.7,1.0,1,30.0,63.0,199.0,757.0,0
257,2024-01-11 17:00:00,14.8,20.0,1,29.0,69.0,139.0,757.0,0
258,2024-01-11 18:00:00,20.0,9.0,1,28.0,72.0,145.0,758.0,0
259,2024-01-11 19:00:00,18.3,7.0,1,28.0,74.0,171.0,758.0,0
260,2024-01-11 20:00:00,16.7,11.03867403314917,1,28.0,74.0,137.0,759.0,0
261,2024-01-11 21:00:00,13.6,0.0,1,28.0,74.0,134.0,759.0,0
262,2024-01-11 22:00:00,14.9,0.0,1,28.0,75.0,131.0,759.0,0
263,2024-01-11 23:00:00,13.1,12.0,1,27.0,78.0,101.0,759.0,0
264,2024-01-12 00:00:00,13.5,2.0,0,27.0,79.0,106.0,759.0,0
