,DATETIMEDATA,PREDICTION_PM25
2024-03-14 05:00:00,2024-03-15 05:00:00,19.308429172176712
2024-03-14 06:00:00,2024-03-15 06:00:00,20.312649220476153
2024-03-14 07:00:00,2024-03-15 07:00:00,21.586302989432777
2024-03-14 08:00:00,2024-03-15 08:00:00,22.143999759221373
2024-03-14 09:00:00,2024-03-15 09:00:00,19.614673931114876
2024-03-14 10:00:00,2024-03-15 10:00:00,18.456205676717587
2024-03-14 11:00:00,2024-03-15 11:00:00,17.798942471156803
2024-03-14 12:00:00,2024-03-15 12:00:00,16.498931325269922
2024-03-14 13:00:00,2024-03-15 13:00:00,15.74159746061413
2024-03-14 14:00:00,2024-03-15 14:00:00,14.954441024236642
2024-03-14 15:00:00,2024-03-15 15:00:00,15.789115750626891
2024-03-14 16:00:00,2024-03-15 16:00:00,15.737065109959813
2024-03-14 17:00:00,2024-03-15 17:00:00,16.795659780381794
2024-03-14 18:00:00,2024-03-15 18:00:00,17.230568493404224
2024-03-14 19:00:00,2024-03-15 19:00:00,19.037272520065084
2024-03-14 20:00:00,2024-03-15 20:00:00,19.52465014904077
2024-03-14 21:00:00,2024-03-15 21:00:00,19.1107663203724
2024-03-14 22:00:00,2024-03-15 22:00:00,19.315905927470872
2024-03-14 23:00:00,2024-03-15 23:00:00,17.397522309770594
